ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw,gyr_x_min,gyr_x_max,gyr_x_avg,gyr_x_std,gyr_x_AUC,gyr_x_pk,gyr_x_cn,gyr_x_pw,gyr_y_min,gyr_y_max,gyr_y_avg,gyr_y_std,gyr_y_AUC,gyr_y_pk,gyr_y_cn,gyr_y_pw,gyr_z_min,gyr_z_max,gyr_z_avg,gyr_z_std,gyr_z_AUC,gyr_z_pk,gyr_z_cn,gyr_z_pw
0,,0,1.1363498249416182,-0.0433647551156651,1.2135508702955826,-0.8417703702127439,5.123242320182996,-0.4085947491627773,-0.8431345222987252,12.610717075401663,-0.06286935406271595,-0.842065353796436,-0.7948738745007397,-0.8661881678730775,-0.7031257767365579,-0.4085947491627773,-0.08857449040949923,-0.6293938150795622,0.3577711094083261,-0.5719377199598293,-0.10509433192367452,-0.861462429756648,1.2978999182472706,-0.4085947491627773,-0.8431345222987252,3.842238620343864,0.9612574798532891,-0.8202786614436998,0.0026089991368996876,-0.8848228971812988,0.0026089991368990627,-0.3900240488789312,-0.19215926762742855,-1.012223249946585,0.9528600399739121,-0.8148919882941393,-0.0026912095707523833,-0.8799198399159192,-0.0026912095707530563,-0.3900240488789312,0.13708803432581085,-1.0058169272673187,0.9540596742423946,-0.8229719980184799,-0.02141552766896432,-0.8840121450156897,-0.021415527668965026,-0.3900240488789312,0.5395014033797705,-1.0140558370282255
1,,1.0,1.1363498249416182,-0.0433647551156651,1.2147127785213137,-0.8309018939239418,1.1902978577382852,-0.2709726510425776,-0.5645186791421258,0.22066521915297876,-0.052156413420007756,-0.8504684137261027,-0.7953797518573194,-0.8707228923889014,-0.7857255338541395,-0.2709726510425776,-0.14040999611305263,-1.0346089427666305,0.36344266621917165,-0.574397152134366,-0.10542813616461916,-0.8632460134806862,-0.10746793572309563,-0.2709726510425776,-0.5645186791421258,-0.6082194562570731,0.5209917033202354,-0.8202786614436998,-0.040579601074798057,-0.7444524787773358,-0.04057960107479863,-0.17507746194120855,-0.30190836827850837,-0.789565384417559,0.8520907614213875,-0.8050164208532786,-0.008454318602216872,-0.8654746769650897,-0.008454318602217525,-0.17507746194120855,1.3077451079373292,-0.9697244053698933,0.7561200199427927,-0.82386977687674,-0.036205193014770785,-0.834196341562209,-0.036205193014771396,-0.17507746194120855,-0.11899320052670868,-0.9295794115744287
2,,2.0,1.1363498249416182,-0.0433647551156651,1.214858914291893,-0.8307964553266532,1.1706596302547756,-0.2675031863840852,-0.55568308157902,0.19918264975688169,-0.052156413420007756,-0.8504684137261027,-0.7952953593325769,-0.8708433451398859,-0.7860510846795482,-0.2675031863840852,-0.12450592049946237,-1.035208182147449,0.36344266621917165,-0.574397152134366,-0.10537118508247072,-0.8631918088611392,-0.11446978270650456,-0.2675031863840852,-0.55568308157902,-0.6172619702038921,0.566577805522568,0.2803982187831343,1.3883474085017267,0.342154837508494,1.3883474085017347,-0.3900240488789312,-0.8140708379835476,0.3524053649800518,-0.03323932871864978,0.007473445872075929,-0.2306696190483637,-0.12145395653139386,-0.23066961904836486,-0.17507746194120855,-0.7043217373324677,-0.13142091504422798,0.5053964578299637,0.05056683106855889,0.667310719115328,-0.13812075383975703,0.6673107191153346,-0.3900240488789312,-0.5945726366813879,-0.1329200294040134
3,,3.0,1.1363498249416182,-0.0433647551156651,1.214858914291893,-0.8307964553266532,1.1706596302547756,-0.2675031863840852,-0.55568308157902,0.19918264975688169,-0.052156413420007756,-0.8504684137261027,-0.7952953593325769,-0.8708433451398859,-0.7860510846795482,-0.2675031863840852,-0.12450592049946237,-1.035208182147449,0.36344266621917165,-0.574397152134366,-0.10537118508247072,-0.8631918088611392,-0.11446978270650456,-0.2675031863840852,-0.55568308157902,-0.6172619702038921,0.6637481812696452,0.8451011206287122,2.932166278448491,1.2280999973791829,2.9321662784485043,-0.3900240488789312,-1.0701520728360672,0.5506974221547754,0.6949386722501886,0.18074476551626747,0.5099246090191091,-0.1519004853477898,0.5099246090191083,-0.3900240488789312,-0.8872369050842674,-0.3121554280842715,0.8640871041062119,-0.07242887251306948,1.0720013272083266,-0.03890472572555846,1.0720013272083324,-0.3900240488789312,-0.9604029721849874,-0.23393161151497413
4,,4.0,1.1363498249416182,-0.0433647551156651,1.214858914291893,-0.8307964553266532,1.1706596302547756,-0.2675031863840852,-0.55568308157902,0.19918264975688169,-0.052156413420007756,-0.8504684137261027,-0.7952953593325769,-0.8708433451398859,-0.7860510846795482,-0.2675031863840852,-0.12450592049946237,-1.035208182147449,0.36344266621917165,-0.574397152134366,-0.10537118508247072,-0.8631918088611392,-0.11446978270650456,-0.2675031863840852,-0.55568308157902,-0.6172619702038921,0.2726674097443713,-0.25018908644856136,0.2225792330125564,-0.22677114787428085,0.22257923301255494,-0.06760416847234718,-0.8506538715339076,-0.24153232338442981,0.20548789070935494,0.412371710947363,-0.1375803639296883,0.21005137648015187,-0.13758036392968856,0.03986912499651414,-0.9238199386346274,-0.13611360199113343,0.2738670440128538,-0.5006693879031182,-0.2644613426866696,-0.4758577976553397,-0.2644613426866704,-0.3900240488789312,-0.7774878044331877,-0.5237039166150608
5,,5.0,0.8638000115315423,-0.0433647551156651,1.2098319345828574,-0.7273769448742456,1.1854997394191826,-0.2709726510425776,-0.5645186791421258,0.17603408259886,-0.052156413420007756,-0.7713566787785078,-0.7931991660476542,-0.8224598768174892,-0.783581906880678,-0.2709726510425776,1.7680790775177764,-0.9832911423442011,0.18258302125109813,-0.574397152134366,-0.10846974767950267,-0.791737203195624,-0.11045799484262009,-0.2709726510425776,-0.670545849899394,-0.628741681311505,-1.1692929809715165,0.07839797567462077,-0.1057791116837758,0.6855007017796143,-0.10577911168377661,-0.17507746194120855,-0.9604029721849874,0.44378634072241885,-0.19518995496377864,0.10892245685546273,-0.238214894326506,0.13406395533553644,-0.238214894326507,0.03986912499651414,-0.9238199386346274,-0.10307152536374799,-0.035638597255614586,-0.5240116382178798,-0.186994973496663,-0.36237525416249805,-0.18699497349666352,-0.17507746194120855,-0.4482405024799482,-0.4207057389504506
6,,6.0,1.1363498249416182,-0.0433647551156651,1.214858914291893,-0.8307964553266532,1.1706596302547756,-0.2675031863840852,-0.55568308157902,0.19918264975688169,-0.052156413420007756,-0.8504684137261027,-0.7952953593325769,-0.8708433451398859,-0.7860510846795482,-0.2675031863840852,-0.12450592049946237,-1.035208182147449,0.36344266621917165,-0.574397152134366,-0.10537118508247072,-0.8631918088611392,-0.11446978270650456,-0.2675031863840852,-0.55568308157902,-0.6172619702038921,-0.9665547895979846,-0.31662472195980584,-1.7665497484417458,0.6231499365050568,-1.7665497484417358,-0.3900240488789312,-0.30190836827850837,0.8405281579108068,0.3482443686587647,1.1350836918467115,-0.20893644884537113,-0.14399864296753648,-0.20893644884537166,-0.2825507554100699,0.6492505040308502,0.517148982458509,-0.2803639880260314,0.3585049794517594,-0.2148384279739794,-0.13533381316944065,-0.21483842797398012,1.974388407436019,0.9419147724337298,0.49812949940321766
7,,7.0,1.1363498249416182,-0.0433647551156651,1.214858914291893,-0.8307964553266532,1.1706596302547756,-0.2675031863840852,-0.55568308157902,0.19918264975688169,-0.052156413420007756,-0.8504684137261027,-0.7952953593325769,-0.8708433451398859,-0.7860510846795482,-0.2675031863840852,-0.12450592049946237,-1.035208182147449,0.36344266621917165,-0.574397152134366,-0.10537118508247072,-0.8631918088611392,-0.11446978270650456,-0.2675031863840852,-0.55568308157902,-0.6172619702038921,-0.4243201002439236,-0.8193808825854396,-0.02521131032422607,-0.6641944409190326,-0.02521131032422667,-0.17507746194120855,2.149154879595608,-0.4554390913336472,0.9360651602151581,-0.705362967586412,-0.0008858983078839952,-0.8568355030654485,-0.0008858983078846491,-0.3900240488789312,2.3686530808977677,-0.9496723102899066,0.71533245481439,-0.8059141997115388,-0.024632684919460565,-0.8466466059834084,-0.024632684919461238,-0.17507746194120855,2.2223209466963283,-0.9218347840163421
8,,8.0,1.1363498249416182,-0.0433647551156651,1.2151407439605935,-0.8304446398072064,1.1907185695741982,-0.2709726510425776,-0.5645186791421258,0.22618082553684965,-0.056882710762379024,-0.8504684137261027,-0.7955020276971136,-0.8697672833956147,-0.7858457372358287,-0.2709726510425776,-0.24643716687032086,-1.0350702122649844,0.36344266621917165,-0.574397152134366,-0.10540266203132871,-0.8632884593714585,-0.10744289335191033,-0.2709726510425776,-0.5645186791421258,-0.6079047929983779,0.4862023095342448,-0.7421719007750744,-0.05513781625869831,-0.7441710258480371,-0.05513781625869885,-0.17507746194120855,-0.2287423011777885,-0.7858044957709058,0.8748838125225538,-0.6945896212872913,-9.896775740289727e-05,-0.8312310777649337,-9.896775740354033e-05,2.7267014617180485,1.527243309239489,-0.9031897758111482,0.8197006361723618,-0.7753897185306967,-0.030835549258546844,-0.842164334773424,-0.030835549258547444,-0.17507746194120855,0.4663353362790503,-0.9278020873255217
9,,9.0,1.114923943656202,-0.01631100119576215,1.2277272357783648,-0.7824830227784507,1.1831858243216615,-0.2675031863840852,-0.55568308157902,0.20800974452722187,-0.18921903634877427,-0.7625437134864181,-0.8258016680464079,-0.6741906270485927,-0.8157463284310728,5.235067761984909,2.1391741751682156,-0.8766291673427338,0.08963250685113001,-0.3997774677422652,-0.12801037522260475,-0.5006949975411387,-0.13650706934956564,-0.2675031863840852,0.41446553084998466,-0.4895479442231374,-0.35114240986649503,-0.8148919882941393,-0.6655644732701219,-0.13206574133928006,-0.6655644732701237,-0.3900240488789312,-0.6677387037821079,-0.1539838113508415,0.3326491231684931,-0.4503937718405549,-0.08485601704745496,-0.555731363286551,-0.0848560170474556,1.114602059685128,-0.48482353603030814,-0.5054356194906333,-0.8285968487225045,0.2067803524058094,-0.2534211699637437,-0.019565308173109253,-0.25342116996374453,0.6847088858096823,-0.48482353603030814,0.13046801957416618
